country,Act.and.or.practice,Coverage,Timeframe,References,cluster,Region,Cov.Name,name,policy.description
Malaysia,Sales Tax (Amendment) Act (Act A1671) 2022,Cross-cutting,Since 2022,https://global-express.org/assets/files/GEA%20De%20Minimis%20Country%20information_4%20November%202021.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Low De Minimis
Australia,A New Tax System (Australian Business Number) Act 1999,Cross-cutting,"Since July 1999, last amended in October 2024",https://www.legislation.gov.au/C2004A00467,Digital governance policies,Pacific,Cross-cutting,Online sales & transactions,Low De Minimis
Australia,Customs Tariff Act 1995,Cross-border digital goods and services,"Since July 1996, last amended in July 2024",https://www.legislation.gov.au/C2004A04997,Digital governance policies,Pacific,Sectoral,Online sales & transactions,Imposition of custom duties on electronic transmission 
Singapore,Goods And Services Tax Act 1993,Cross-cutting,Since 1993 last amended in September 2022,https://sso.agc.gov.sg/Act/GSTA1993,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Imposition of custom duties on electronic transmission 
Malaysia,World Trade Organization (Wto) Moratorium On Customs Duties On Electronic Transmissions 1998,Cross-cutting,Since 1998,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/MIN98/DEC2.pdf&Open=True,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Imposition of custom duties on electronic transmission 
Malaysia,Mynic's Registration Policies,Cross-cutting,Since May 2005,https://mynic.my/resources/domains/faq/#Supporting-documents,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Domain name requirements
Singapore,Trade Marks Act 1998,Cross-cutting,Since January 1999 last amended in 2021,https://sso.agc.gov.sg/Act/TMA1998,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Domain name requirements
Australia,Guidelines On The Interpretation Of Policy Rules For Open 2lds 2012,Cross-cutting,Since December 2012,http://www.auda.org.au/policies/index-of-published-policies/2012/2012-05/,Digital governance policies,Pacific,Cross-cutting,Online sales & transactions,Domain name requirements
Malaysia,Communications And Multimedia Act (Act 588) 1998,Cross-cutting,"Since April 1999, last amended in 2005",https://contentforum.my/wp-content/uploads/2022/11/MCMC-Act-1998.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Local presence requirements for online service providers
Malaysia,Companies Act (Act 777) 2016,Cross-cutting,"Since September 2016, last amended in July 2019",https://www.ssm.com.my/Pages/Legal_Framework/Companies%20-Act%20-1965-(Repealed)/aktabi_20160915_companiesact2016act777_0.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Local presence requirements for online service providers
Singapore,Companies Act 1967,E-commerce,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967#pr4-,Digital governance policies,South-East Asia,Sectoral,Online sales & transactions,Local presence requirements for online service providers
Malaysia,Information Paper On Regulatory Framework For Internet Messaging And Social Media Service Providers 2024,Cross-cutting,Since August 2024,https://www.mcmc.gov.my/skmmgovmy/media/General/pdf2/Info-Paper-for-Regulatory-Framework.pdf,Digital governance policies,South-East Asia,Cross-cutting,Online sales & transactions,Local presence requirements for online service providers
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Digital governance policies,Pacific,Cross-cutting,Online sales & transactions,Local presence requirements for online service providers
Australia,Public Governance Performance And Accountability Rule 2014,Cross-cutting,"Since June 2014, last amended in September 2024",https://www.legislation.gov.au/F2014L00911/latest/text,Other domestic policies,Pacific,Cross-cutting,Public procurement,Foreign exclusions
Singapore,Government Procurement (Application) Order (Gp Order) 2002,Cross-cutting,Since 2002 last amended on 8 July 2024,https://sso.agc.gov.sg/SL/GPA1997-OR1,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Malaysia,Government Contracts Act (Act 120) 1949,Cross-cutting,"Since 1949, last amended in January 2006",https://tcclaw.com.my/wp-content/uploads/2020/12/GOVERNMENT-CONTRACTS-ACT-1949.pdf,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Malaysia,Financial Procedure Act (Act 61) 1957,Cross-cutting,"Since 1957, last amended in 1972",http://www.commonlii.org/my/legis/consol_act/fpa19571972252/,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Malaysia,Treasury Directive 1966,Cross-cutting,"Since 1966, last amended in 2023",https://www.mof.gov.my/portal/pdf/arahan-perbendaharaan/ap2023/,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Australia,Telecommunications Act 1997,Cross-cutting,"Since April 1997, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,Other domestic policies,Pacific,Cross-cutting,Public procurement,Foreign exclusions
Australia,Security Of Critical Infrastructure Act 2018,Cross-cutting,"Since April 2018, last amended in October 2023",https://www.legislation.gov.au/C2018A00029,Other domestic policies,Pacific,Cross-cutting,Public procurement,Foreign exclusions
Australia,Commonwealth Procurement Rules 2024,Cross-cutting,Jun-24,https://www.legislation.gov.au/F2024L00627,Other domestic policies,Pacific,Cross-cutting,Public procurement,Foreign exclusions
Singapore,Government Procurement Act (Gpa) 1997,Cross-cutting,Since 2002 last amended in January 2021,https://sso.agc.gov.sg/Act/GPA1997,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Singapore,Government Procurement Regulations (Gp Regulations) 2014,Cross-cutting,Since April 2014,https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Foreign exclusions
Singapore,Government Procurement Regulations (Gp Regulations) 2014,Cross-cutting,Since April 2014,https://sso.agc.gov.sg/SL/GPA1997-RG1,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Singapore,Government Procurement Act (Gpa) 1997,Cross-cutting,Since 2002 last amended in January 2021,https://sso.agc.gov.sg/Act/GPA1997,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Singapore,Government Procurement (Application) Order (Gp Order) 2002,Cross-cutting,SInce 2002 last amended on 8 July 2024,https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Malaysia,Official Secrets Act No.88 1972,Cross-cutting,"Since 1972, last amended in January 2006",https://tcclaw.com.my/wp-content/uploads/2020/12/Official-Secrets-Act-1972.pdf,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Malaysia,Financial Procedure Act (Act 61) 1957,Cross-cutting,"Since 1957, last amended in 1972",http://www.commonlii.org/my/legis/consol_act/fpa19571972252/,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Australia,Commonwealth Procurement Rules 2024,Cross-cutting,Since June 2024,https://www.legislation.gov.au/F2024L00627/latest/text,Other domestic policies,Pacific,Cross-cutting,Public procurement,Specific requirements
Singapore,Government Procurement (Challenage Proceddings) Regulation 2002,Cross-cutting,Since May 2002,https://sso.agc.gov.sg/SL/GPA1997-OR1,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Specific requirements
Australia,Indigenous Procurement Policy 2015,Cross-cutting,"Since March 2015, last amended December 2020",https://www.niaa.gov.au/resource-centre/indigenous-procurement-policy,Other domestic policies,Pacific,Cross-cutting,Public procurement,Limitations in procurement bidding
Australia,Australian Jobs Act 2013,Cross-cutting,"Since June 2013, last amended in October 2024",www.legislation.gov.au/C2013A00069,Other domestic policies,Pacific,Cross-cutting,Public procurement,Limitations in procurement bidding
Singapore,Government Procurement Act (Gpa) 1997,Cross-cutting,Since 2002 last amended in January 2021,https://sso.agc.gov.sg/Act/GPA1997,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Limitations in procurement bidding
Malaysia,Treasury Directive 1966,Cross-cutting,"Since 1966, last amended in 2023",https://www.mof.gov.my/portal/pdf/arahan-perbendaharaan/ap2023/,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Limitations in procurement bidding
Singapore,Government Procurement Regulations (Gp Regulations) 2014,Cross-cutting,Since April 2014,https://www.wto.org/english/tratop_e/tpr_e/s413_e.pdf,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Limitations in procurement bidding
Australia,Commonwealth Procurement Rules 2024,Cross-cutting,Since June 2024,https://www.legislation.gov.au/F2024L00627,Other domestic policies,Pacific,Cross-cutting,Public procurement,Limitations in procurement bidding
Singapore,Government Procurement (Application) Order (Gp Order) 2002,Cross-cutting,"Since 2002, last amended on 8 July 2024",https://sso.agc.gov.sg/SL/GPA1997-S269-2014#pr4-,Other domestic policies,South-East Asia,Cross-cutting,Public procurement,Limitations in procurement bidding
Malaysia,Malaysian Communications And Multimedia Commission Licensing Guidebook 2023,Broadcasting Service/Communications and Multimedia,Since April 2023/Since April 2023,https://mcmc.gov.my/skmmgovmy/media/General/pdf2/Suruhanjaya-Komunikasi-dan-Multimedia-Malaysia_Licensing-Guidelines.pdf,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Foreign equity limits
Malaysia,Communications And Multimedia Act (Act 588) 1998,Broadcasting Service,"Since April 1999, last amended in 2005",https://www.mcmc.gov.my/skmmgovmy/media/General/pdf/Act588bi_3.pdf,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Foreign equity limits
Australia,Foreign Acquisitions And Takeovers Act 1975,Cross-cutting,"Since August 1975, last amended in October 2024",https://www.legislation.gov.au/C2004A01402,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Foreign equity limits
Malaysia,Trust Companies Act (Act 100) 1949,Financial service,"Since 1949, last amended in January 2006",https://www.ssm.com.my/Pages/Legal_Framework/Trust-Companies-Act.aspx,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Foreign equity limits
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Foreign equity limits
Singapore,Companies Act 1967,Cross-cutting,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Foreign equity limits
Singapore,Companies Act 1967,Cross-cutting,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Joint venture requirements
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Joint venture requirements
Malaysia,Companies Act (Act 777) 2016,Cross-cutting,"Since September 2016, last amended in July 2019",https://www.ssm.com.my/Pages/Legal_Framework/Companies%20-Act%20-1965-(Repealed)/aktabi_20160915_companiesact2016act777_0.pdf,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Joint venture requirements
Singapore,Companies Act 1967,Cross-cutting,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967#pr4-,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Nationality or residency requirements
Singapore,Significant Investments Review Act 2024,Cross-cutting,Since March 2024,https://sso.agc.gov.sg/Act/SIRA2024?WholeDoc=1,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Nationality or residency requirements
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Nationality or residency requirements
Malaysia,Companies Act (Act 777) 2016,Cross-cutting,"Since September 2016, last amended in July 2019",https://www.ssm.com.my/Pages/Legal_Framework/Companies%20-Act%20-1965-(Repealed)/aktabi_20160915_companiesact2016act777_0.pdf,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Nationality or residency requirements
Malaysia,Ministerial Functions Act (Act 2) 1969,Cross-cutting,"Since February 1969, last amended in March 2006",http://www.commonlii.org/my/legis/consol_act/mfa1969251/,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Investment screenings
Australia,Broadcasting Services Act 1992,Media sector,"Since August 1975, last amended in October 2024",https://www.legislation.gov.au/C2004A04401/latest/text,Other domestic policies,Pacific,Sectoral,Foreign direct investment,Investment screenings
Australia,Foreign Acquisitions And Takeovers Act 1975,Cross-cutting,"Since August 1975, last amended in October 2024",https://www.legislation.gov.au/C2004A01402,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Investment screenings
Australia,Security Of Critical Infrastructure Act 2018,Cross-cutting,"Since April 2018, last amended October 2023",https://www.legislation.gov.au/C2018A00029,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Investment screenings
Singapore,Telecom And Mediacompetition Code 2012,Telecommunication sector,Since April 2012,https://www.imda.gov.sg/-/media/Imda/Files/Inner/PCDG/Practice-Guidelines/TCC/TelecomCon_TenderOffer.pdf,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Investment screenings
Singapore,Significant Investments Review Act 2024,Cross-cutting,Since March 2024,https://sso.agc.gov.sg/Act/SIRA2024?WholeDoc=1,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Investment screenings
Singapore,Telecommunications Act 1999,Telecommunication sector,Since December 1999 last amened in November 2022,https://sso.agc.gov.sg/Act/TA1999,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Investment screenings
Malaysia,Communications And Multimedia Act (Act 588) 1998,Broadcasting Service,"Since April 1999, last amended in 2005",https://www.mcmc.gov.my/skmmgovmy/media/General/pdf/Act588bi_3.pdf,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Investment screenings
Malaysia,Companies Act (Act 777) 2016,Cross-cutting,"Since September 2016, last amended in July 2019",https://www.ssm.com.my/Pages/Legal_Framework/Companies%20-Act%20-1965-(Repealed)/aktabi_20160915_companiesact2016act777_0.pdf,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Commercial presence requirements
Malaysia,Communications And Multimedia Act (Act 588) 1998,Broadcasting Service,"Since April 1999, last amended in 2005",https://www.mcmc.gov.my/skmmgovmy/media/General/pdf/Act588bi_3.pdf,Other domestic policies,South-East Asia,Sectoral,Foreign direct investment,Commercial presence requirements
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Cross-cutting,Foreign direct investment,Commercial presence requirements
Singapore,Companies Act 1967,Cross-cutting,Since December 1967 last amended in 2021,https://sso.agc.gov.sg/Act/CoA1967#pr4-,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Commercial presence requirements
Malaysia,Malaysian Communications And Multimedia Commission Licensing Guidebook 2023,Broadcasting Service/Cross-cutting,Since April 2023/Since April 2023,https://mcmc.gov.my/skmmgovmy/media/General/pdf2/Suruhanjaya-Komunikasi-dan-Multimedia-Malaysia_Licensing-Guidelines.pdf,Other domestic policies,South-East Asia,Cross-cutting,Foreign direct investment,Commercial presence requirements
Malaysia,Patents Act (Act 291) 1983,Cross-cutting,"Since October 1986, last amended in 2022",http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent application issues
Singapore,Patent (Amendment) Act 2017,Cross-cutting,Since April 2017,https://www.ipos.gov.sg/about-ip/patents/how-to-register,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent application issues
Australia,Patent Act 1990,Cross-cutting,"Since October 1990, last amended in October 2024",https://www.legislation.gov.au/C2004A04014,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Patent application issues
Singapore,Patents Act 1994,Cross-cutting,Since February 1995 last amended in November 2022,https://sso.agc.gov.sg/Act/PA1994,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent application issues
Malaysia,Patents (Amendment) Act (Act A1649) 2022,Cross-cutting,Since March 2022,https://www.myipo.gov.my/wp-content/uploads/2022/03/02-PATENTS-AMENDMENT-ACT-2022.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent application issues
Singapore,Patent Rules,Cross-cutting,"Since Feburary 1995, last amendedn in September 2025",https://sso.agc.gov.sg/Acts-Supp/18-2017/Published/20170411?DocDate=20170411,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent application issues
Malaysia,Trade Descriptions Act (Act 730) 2011,Cross-cutting,"Since 2011, last amended in July 2016",https://tcclaw.com.my/wp-content/uploads/2020/12/Trade-Descriptions-Act-2011-1.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Singapore,Computer Misuse Act 1993,Cross-cutting,Since August 1993 last amended in December 2021,https://sso.agc.gov.sg/Act/CMA1993,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Australia,Freedom Of Information Act 1982,Cross-cutting,"Since March 1982, last amended in October 2024",https://www.legislation.gov.au/C2004A00109,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Malaysia,Criminal Procedure Code (Act 593) 2018,Cross-cutting,"Since July 1936, last amended in March 2017",https://cyrilla.org/api/files/1568727997327dm3cpb84eaw.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Singapore,Trade Secrets Enterprise Guide Issued By Intellectual Property Office Of Singapore,Cross-cutting,Since 2022,https://www.ipos.gov.sg/about-ip/trade-secrets,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Australia,Corporations Act 2001,Cross-cutting,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Singapore,Common Law Doctrine Of Breach Of Confidence,Cross-cutting,Not Available,https://www.ipos.gov.sg/docs/default-source/resources-library/trade-secrets/trade-secrets-guide.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Australia,Competition And Consumer Act 2010,Cross-cutting,"Since August 2010, last amended in October 2024",https://www.legislation.gov.au/C2004A02562,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Lack of effective trade secrets legal framework
Australia,Patent Act 1990,Cross-cutting,"Since October 1990, last amended in October 2024",https://www.legislation.gov.au/C2004A04014,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Patent enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Patent (Amendment) Act 2017,Cross-cutting ,Since April 2017,https://sso.agc.gov.sg/Acts-Supp/18-2017/Published/20170411?DocDate=20170412,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Patents Act 1994,Cross-cutting ,Since February 1995 last amended in November 2022,https://sso.agc.gov.sg/Act/PA1994,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: civil/administrative/provisional remedies and measures
Malaysia,Patents Act (Act 291) 1983,Cross-cutting,"Since October 1986, last amended in 2022",http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: civil/administrative/provisional remedies and measures
Malaysia,Patents (Amendment) Act (Act A1649) 2022,Cross-cutting,Since March 2022,https://www.myipo.gov.my/wp-content/uploads/2022/03/02-PATENTS-AMENDMENT-ACT-2022.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: civil/administrative/provisional remedies and measures
Malaysia,Patents Act (Act 291) 1983,Cross-cutting,"Since October 1986, last amended in 2022",http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: others
Singapore,Patents Act 1994,Cross-cutting,Since February 1995 last amended in November 2022,https://sso.agc.gov.sg/Act/PA1994,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: others
Singapore,Patent (Amendment) Act 2017,Cross-cutting,Since April 2017,https://sso.agc.gov.sg/Acts-Supp/18-2017/Published/20170411?DocDate=20170411,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: others
Malaysia,Patents (Amendment) Act (Act A1649) 2022,Cross-cutting,Since March 2022,https://www.myipo.gov.my/wp-content/uploads/2022/03/02-PATENTS-AMENDMENT-ACT-2022.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Patent enforcement issues: others
Australia,Patent Act 1990,Cross-cutting,"Since October 1990, last amended in October 2024",https://www.legislation.gov.au/C2004A04014,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Patent enforcement issues: others
Malaysia,Copyright Right Act (Act 332) 1987,Cross-cutting,"Since October 1986, last amended in 2022",http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of copyright framework and exceptions
Australia,Copyright Act 1968,Cross-cutting,"Since June 1968, last amended in October 2024",https://www.legislation.gov.au/C1968A00063,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Lack of copyright framework and exceptions
Singapore,Copyright Act 2021,Cross-cutting,Since 2021,https://sso.agc.gov.sg/Acts-Supp/22-2021/Published/,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of copyright framework and exceptions
Malaysia,Copyright Right (Amendment) Act (Act A1645) 2022,Cross-cutting,Since March 2022,https://www.myipo.gov.my/wp-content/uploads/2022/03/02-PATENTS-AMENDMENT-ACT-2022.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Lack of copyright framework and exceptions
Malaysia,Copyright Right Act (Act 332) 1987,Cross-cutting,"Since October 1986, last amended in 2022",http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Copyright Act 2021,Cross-cutting,Since 2021/Since 2021,https://sso.agc.gov.sg/Acts-Supp/22-2021/Published/,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Copyright Tribunals (Procedure) Regulation 2021,Cross-cutting,Not Available,https://sso.agc.gov.sg/SL/CA2021-RG4?DocDate=20250530,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Malaysia,Copyright Right (Amendment) Act (Act A1645) 2022,Cross-cutting,Since March 2022,https://www.myipo.gov.my/wp-content/uploads/2022/03/02-PATENTS-AMENDMENT-ACT-2022.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Copyright Regulation 2021,Cross-cutting,Not Available,https://sso.agc.gov.sg/Act/CA2021,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Rules Of Court 2021,Cross-cutting,Not Available,https://sso.agc.gov.sg/SL/SCJA1969-S914-2021?DocDate=20250519,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,Ip Court Guide,Cross-cutting,Not Available,https://www.judiciary.gov.sg/docs/default-source/circulars/2013/registrar's_circular_no_2_2013_supreme_courts.pdf?sfvrsn=9accd6f9_0,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Australia,Copyright Act 1968,Cross-cutting,"Since June 1968, last amended in October 2024",https://www.legislation.gov.au/C1968A00063,Other domestic policies,Pacific,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Singapore,"Supreme Court Of Judicature (Intellectual Property) Rule 2022,",Cross-cutting,Not Available,https://sso.agc.gov.sg/SL/SCJA1969-S205-2022?DocDate=20220321,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Online copyright enforcement issues: civil/administrative/provisional remedies and measures
Malaysia,Trade Descriptions Act (Act 730) 2011,Cross-cutting,"Since 2011, last amended in July 2016",https://tcclaw.com.my/wp-content/uploads/2020/12/Trade-Descriptions-Act-2011-1.pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Mandatory disclosure of trade secrets
Australia,Privacy Act 1988,Horiozntal,"Since December 1988, last amended in 2023 October 2024",https://www.legislation.gov.au/C2004A03712,Other domestic policies,Pacific,Sectoral,Intellectual property rights,Mandatory disclosure of trade secrets
Australia,Corporations Act 2001,Horiozntal,"Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,Other domestic policies,Pacific,Sectoral,Intellectual property rights,Mandatory disclosure of trade secrets
Singapore,Copyright Act 2021,Cross-cutting,Since 2021,https://sso.agc.gov.sg/Acts-Supp/22-2021/Published/,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Mandatory disclosure of trade secrets
Malaysia,Criminal Procedure Code (Act 593) 2018,Cross-cutting,"Since July 1936, last amended in March 2017",https://ccid.rmp.gov.my/Laws/Act_593_-_Criminal_Procedure_Code_(CPC).pdf,Other domestic policies,South-East Asia,Cross-cutting,Intellectual property rights,Mandatory disclosure of trade secrets
Malaysia,Commission Determination On The Mandatory Standard On Access Pricing 2006,Telecommunication sector,Since February 2006,https://mcmc.gov.my/skmmgovmy/files/attachments/Access%20Pricing1_2006.pdf,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Lack of passive infrastructure sharing
Australia,Telecommunications Act 1997,Cross-cutting,"Since April 1997, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,Other domestic policies,Pacific,Cross-cutting,Telecom regulations and competition,Lack of passive infrastructure sharing
Singapore,Code Of Practice For Competition In The Provision Of Telecommunication And Media Services 2022 Issued By Infocomm Media Development Authority (Imda),Telecommunications sector,Since 2022,https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/frameworks-and-policies/competition-management/telecom-competition-code/code-of-practice-for-competition-for-the-provision-of-telecom--media-services-wef-2may2022.pdf,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Lack of passive infrastructure sharing
Singapore,Telecommunications Act 1999,Telecommunications sector,Since December 1999 last amened in December 2021,https://sso.agc.gov.sg/Act/TA1999#pr3-,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Lack of passive infrastructure sharing
Malaysia,Communications And Multimedia Act (Act 588) 1998,Telecommunication sector,"Since April 1999, last amended in 2005",https://www.mcmc.gov.my/skmmgovmy/media/General/pdf/Act588bi_3.pdf,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Lack of passive infrastructure sharing
Malaysia,Public Inquiry Report On The Review Of The Mandatory Standard On Access 2022,Telecommunication sector,Since September 2022,https://mcmc.gov.my/skmmgovmy/media/General/pdf2/Public-Inquiry-Report-on-Review-of-Mandatory-Standard-on-Access_07092022.pdf,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Lack of passive infrastructure sharing
Malaysia,Communications And Multimedia Act (Act 588) 1998,Telecommunication sector,"Since April 1999, last amended in 2005",https://www.mcmc.gov.my/skmmgovmy/media/General/pdf/Act588bi_3.pdf,Other domestic policies,South-East Asia,Sectoral,Telecom regulations and competition,Foreign equity limits in telecom sector
